recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
439_swingley_aslin_2002_15,439,swingley_aslin_2002,15,0.80765639589169,0.24885344922168956,6,NA,NA,NA,1.3333333333333333,0.5163977794943222,6,0.6666666666666666,0.5163977794943222,6,NA,NA,NA,NA,NA,NA,5,6,2461.1111111111113,1241.2210236817734,6,2344.444444444445,1389.9107352099456,6,2655.5555555555557,1065.5549762482494,-10,target
440_swingley_aslin_2002_15,440,swingley_aslin_2002,15,0.535,0.6576093065034891,2,NA,NA,NA,2,NA,1,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,0,2,1383.3333333333335,NA,1,716.6666666666666,683.536555146996,2,1566.6666666666667,NA,-10,target
441_swingley_aslin_2002_15,441,swingley_aslin_2002,15,0.7428571428571429,0.36365491603879585,2,NA,NA,NA,1,0,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,1,2,2616.666666666667,1296.362432175337,2,2616.666666666667,1296.362432175337,2,2616.666666666667,1296.362432175337,-10,target
442_swingley_aslin_2002_15,442,swingley_aslin_2002,15,0.6639194139194139,0.11641387843981439,4,NA,NA,NA,1.5,0.5773502691896257,4,0,0,4,NA,NA,NA,NA,NA,NA,6,4,1550,284.47482476649134,4,1158.3333333333335,680.617910975564,4,1733.3333333333335,98.1306762925317,-10,target
443_swingley_aslin_2002_16,443,swingley_aslin_2002,16,0.5855572475442754,0.29123148608682337,7,NA,NA,NA,1.4285714285714286,0.5345224838248488,7,0.2857142857142857,0.4879500364742666,7,NA,NA,NA,NA,NA,NA,9,7,1542.857142857143,922.549664569818,7,1471.4285714285716,977.2274786218126,7,1652.3809523809525,911.2175702418498,-9,target
444_swingley_aslin_2002_15,444,swingley_aslin_2002,15,0.8962264150943396,NA,1,NA,NA,NA,2,NA,1,0,NA,1,NA,NA,NA,NA,NA,NA,0,1,1583.3333333333335,NA,1,1633.3333333333335,NA,1,1633.3333333333335,NA,-10,target
445_swingley_aslin_2002_15,445,swingley_aslin_2002,15,0.8411104253720503,0.13186316589903047,6,NA,NA,NA,1.3333333333333333,0.5163977794943222,6,0.6666666666666666,0.5163977794943222,6,NA,NA,NA,NA,NA,NA,6,6,2413.888888888889,1006.5572052334669,6,2305.5555555555557,1188.3539814319574,6,2616.666666666667,802.9805587794624,-10,target
446_swingley_aslin_2002_14,446,swingley_aslin_2002,14,0.8843537414965986,0.16175797000308334,7,NA,NA,NA,1.2857142857142858,0.4879500364742666,7,0.8571428571428571,0.3779644730092272,7,NA,NA,NA,NA,NA,NA,4,7,2676.190476190476,993.6305084394236,7,2771.4285714285716,851.2362625048199,7,2771.4285714285716,851.2362625048199,-11,target
447_swingley_aslin_2002_15,447,swingley_aslin_2002,15,0.7152930402930403,0.35516361255592344,3,NA,NA,NA,1,0,3,0.6666666666666666,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,2,3,2466.666666666667,1337.0780746754385,3,2466.666666666667,1337.0780746754385,3,2466.666666666667,1337.0780746754385,-10,target
448_swingley_aslin_2002_15,448,swingley_aslin_2002,15,0.6656593406593406,0.212861036063042,3,NA,NA,NA,1.3333333333333333,0.5773502691896257,3,0.3333333333333333,0.5773502691896257,3,NA,NA,NA,NA,NA,NA,4,3,1605.5555555555557,441.69287134002116,3,1855.5555555555557,340.47896546765696,3,1855.5555555555557,340.47896546765696,-10,target
449_swingley_aslin_2002_14,449,swingley_aslin_2002,14,0.7579304029304029,0.3440720390178773,5,NA,NA,NA,1.2,0.44721359549995793,5,0.6,0.5477225575051661,5,NA,NA,NA,NA,NA,NA,4,5,2376.666666666667,1413.8010232466709,5,2226.666666666667,1587.8706916286772,5,2526.666666666667,1304.3516908155307,-11,target
450_swingley_aslin_2002_14,450,swingley_aslin_2002,14,0.5141430171769977,0.10642206204576755,4,NA,NA,NA,1.5,0.5773502691896257,4,0,0,4,NA,NA,NA,NA,NA,NA,7,4,1229.1666666666667,400.0867961385935,4,925,693.5549859373217,4,1316.6666666666667,303.68111930481,-11,target
451_swingley_aslin_2002_15,451,swingley_aslin_2002,15,0.7598977735424066,0.2630764724463353,6,NA,NA,NA,1.3333333333333333,0.5163977794943222,6,0.5,0.5477225575051661,6,NA,NA,NA,NA,NA,NA,4,6,2119.4444444444443,1151.1548147001806,6,2066.666666666667,1213.443218467368,6,2255.5555555555557,1025.5982897079402,-10,target
452_swingley_aslin_2002_15,452,swingley_aslin_2002,15,0.624785836664763,0.11468779317931443,2,NA,NA,NA,1.5,0.7071067811865476,2,0.5,0.7071067811865476,2,NA,NA,NA,NA,NA,NA,3,2,1383.3333333333335,259.2724864350673,2,1733.3333333333335,235.70226039551594,2,1733.3333333333335,235.70226039551594,-10,target
453_swingley_aslin_2002_15,453,swingley_aslin_2002,15,0.7052365428180449,0.19662982991425706,4,NA,NA,NA,1.25,0.5,4,0.5,0.5773502691896257,4,NA,NA,NA,NA,NA,NA,4,4,2083.3333333333335,1066.1457061146318,4,2100,1044.5626410661598,4,2100,1044.5626410661598,-10,target
