recording_name,trial_number,subject_id,dataset_name,age_months,target_word,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,age_months_centred,data_split
139_pomper_saffran_2016_45,10,139,pomper_saffran_2016,45,brown,brown,target,61,35,0.6354166666666666,NA,2,NA,0,NA,2,866.6666666666667,1100,1100,20,target
139_pomper_saffran_2016_45,12,139,pomper_saffran_2016,45,orange,orange,target,0,106,0,NA,NA,NA,0,NA,0,NA,NA,NA,20,target
139_pomper_saffran_2016_45,15,139,pomper_saffran_2016,45,green,green,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,20,target
140_pomper_saffran_2016_46,8,140,pomper_saffran_2016,46,red,red,target,92,13,0.8761904761904762,NA,1,NA,1,NA,1,3066.666666666667,3066.666666666667,3066.666666666667,21,target
141_pomper_saffran_2016_47,10,141,pomper_saffran_2016,47,green,green,target,62,39,0.6138613861386139,NA,2,NA,0,NA,2,1033.3333333333335,1033.3333333333335,1033.3333333333335,22,target
141_pomper_saffran_2016_47,11,141,pomper_saffran_2016,47,black,black,target,48,55,0.46601941747572817,NA,1,NA,0,NA,1,1600,1600,1600,22,target
141_pomper_saffran_2016_47,13,141,pomper_saffran_2016,47,green,green,target,71,26,0.7319587628865979,NA,1,NA,0,NA,1,2366.666666666667,2366.666666666667,2366.666666666667,22,target
142_pomper_saffran_2016_46,3,142,pomper_saffran_2016,46,red,red,target,106,0,1,0.6603773584905661,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,21,target
142_pomper_saffran_2016_46,8,142,pomper_saffran_2016,46,green,green,target,66,36,0.6470588235294118,0.6226415094339622,2,NA,0,NA,2,1100,1166.6666666666667,1166.6666666666667,21,target
143_pomper_saffran_2016_45,10,143,pomper_saffran_2016,45,brown,brown,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,20,target
143_pomper_saffran_2016_45,16,143,pomper_saffran_2016,45,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,20,target
144_pomper_saffran_2016_46,1,144,pomper_saffran_2016,46,yellow,yellow,target,106,0,1,NA,1,NA,1,NA,0,3533.3333333333335,3533.3333333333335,3533.3333333333335,21,target
145_pomper_saffran_2016_47,9,145,pomper_saffran_2016,47,black,black,target,83,13,0.8645833333333334,NA,2,NA,1,NA,2,1383.3333333333333,2300,2300,22,target
