recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,total_aoi_switches,n_trials_total_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
47_ronfard_2021_20,47,ronfard_2021,20,0.4126262626262626,0.4619316511677321,8,-0.09698275862068967,0.07293701233618999,4,1.25,0.5,4,NA,NA,NA,0.5,0.5345224838248488,8,321.25,308.47406698132664,4,2,8,1266.6666666666667,421.63702135578393,4,1375,330.4037933599835,4,1375,330.4037933599835,-5,distractor
48_ronfard_2021_22,48,ronfard_2021,22,0.6244706870660304,0.3866670749184934,8,0.10344827586206896,0.7621391760448395,6,1,0,6,NA,NA,NA,0.875,0.3535533905932738,8,457.85714285714283,453.6229816971463,7,2,8,1461.1111111111113,338.2416405580594,6,1461.1111111111113,338.2416405580594,6,1461.1111111111113,338.2416405580594,-3,distractor
49_ronfard_2021_19,49,ronfard_2021,19,0.7563381512646822,0.160364086053446,6,0.44612068965517243,0.22061499724972064,4,1,0,6,NA,NA,NA,1,0,6,323.3333333333333,228.9468642865996,6,4,6,1233.3333333333335,224.10315085295483,6,1233.3333333333335,224.10315085295483,6,1233.3333333333335,224.10315085295483,-6,distractor
50_ronfard_2021_18,50,ronfard_2021,18,0.37915457998791335,0.30599496052691805,12,-0.25862068965517243,0.14982263702701484,6,1,0,8,NA,NA,NA,0.75,0.45226701686664544,12,751.1111111111111,327.42153428128563,9,8,12,970.8333333333334,410.7436152398689,8,903.7037037037037,433.7960492508882,9,970.8333333333334,410.7436152398689,-7,distractor
51_ronfard_2021_21,51,ronfard_2021,21,0.7205044492544492,0.14998479417670757,10,0.3625478927203065,0.2253021390489739,6,1,0,10,NA,NA,NA,1,0,10,497.5,185.984617046082,10,9,10,1290,247.97948939477598,10,1290,247.97948939477598,10,1290,247.97948939477598,-4,distractor
53_ronfard_2021_23,53,ronfard_2021,23,0.6488671187843764,0.3654403736937944,9,0.3635057471264368,0.37657385413477024,6,1,0,7,NA,NA,NA,1,0,9,592.7777777777778,488.6915637131916,9,2,9,1395.2380952380954,405.25646723131297,7,1250,556.3486402641869,8,1395.2380952380954,405.25646723131297,-2,distractor
55_ronfard_2021_20,55,ronfard_2021,20,0.841849648135824,0.18025038698220625,14,0.7595785440613027,0.12289537061553583,6,1,0,14,NA,NA,NA,1,0,14,290,290.3909831191786,14,5,14,1459.5238095238096,399.3966756467867,14,1459.5238095238096,399.3966756467867,14,1459.5238095238096,399.3966756467867,-5,distractor
57_ronfard_2021_18,57,ronfard_2021,18,0.5952260702260702,0.23106650027980805,9,0.34097096188747733,0.15461714325971646,4,1,0,9,NA,NA,NA,1,0,9,601.1111111111111,365.100823213412,9,9,9,1088.888888888889,421.307488658818,9,1088.888888888889,421.307488658818,9,1088.888888888889,421.307488658818,-7,distractor
58_ronfard_2021_21,58,ronfard_2021,21,0.7391435185185186,0.1601257044701622,8,0.646551724137931,0.021116290886061817,4,1,0,8,NA,NA,NA,1,0,8,386.875,158.9235552980471,8,7,8,1308.3333333333335,336.06027426119255,8,1308.3333333333335,336.06027426119255,8,1308.3333333333335,336.06027426119255,-4,distractor
59_ronfard_2021_18,59,ronfard_2021,18,0.787087731644382,0.058094159351161925,7,0.5560344827586207,0.13158911657304956,4,1,0,7,NA,NA,NA,1,0,7,372.14285714285717,82.55589736945623,7,6,7,1433.3333333333333,145.2966314513558,7,1433.3333333333333,145.2966314513558,7,1433.3333333333333,145.2966314513558,-7,distractor
